DDRUR,0.00011601s
ULLUULDD,8.0744e-05s
DDLUULLURR,5.1076e-05s
DLDRRURRRUUURR,5.7235e-05s
LUUURULLURDDRDR,0.000118079s
LLUURRRUURDDDDLUURDD,0.000250426s
DRDLLULULUUURDRURDRDRRR,0.000338174s
URRRRDLLLLDRRRRDLLLLDRRRR,8.3295e-05s
DDRULLLLDRUUUULDRRRRULDDDDR,0.00655512s
RDRURRDRUUULDLDLDDLUUUURRURR,0.27202s
DDRRUUUULLULLUULLLLLUURRDDDDRR,0.0177144s
DRUURDRRDRUULDLULDLDRDLDRURDRURD,1.55347s
